direction,ligand,receptor,sender,receiver,ligand_normal,ligand_disease,receptor_normal,receptor_disease,score_normal,score_disease,delta,delta_log2
lung->heart,SPP1,ITGB1,mast cell,cardiac endothelial cell,0.10817256314996432,0.09839706390433033,0.005786397802698401,0.005008436613691961,0.0006259294817232076,0.0004928154575382357,-0.00013311402418497188,-0.34433117814349085
lung->heart,SPP1,ITGB1,pulmonary alveolar type 2 cell,cardiac fibroblast,0.13881405132707805,0.18728413625683468,0.0033796110976818923,0.0039300875846291295,0.0004691375083791768,0.0007360430587009762,0.00026690555032179937,0.6486661194746393
lung->heart,SPP1,ITGB1,pulmonary alveolar type 2 cell,cardiac endothelial cell,0.13881405132707805,0.18728413625683468,0.005786397802698401,0.005008436613691961,0.0008032333215826675,0.0009380007251924049,0.00013476740360973737,0.2235121599043582
lung->heart,SPP1,ITGB1,vein endothelial cell,cardiac fibroblast,0.2559046622981315,0.2762076656352465,0.0033796110976818923,0.0039300875846291295,0.0008648582366513022,0.001085520317492476,0.00022066208084117387,0.3275124096155054
lung->heart,SPP1,ITGB1,vein endothelial cell,cardiac endothelial cell,0.2559046622981315,0.2762076656352465,0.005786397802698401,0.005008436613691961,0.0014807661756221847,0.0013833685855499554,-9.73975900722293e-05,-0.09808969771730823
lung->heart,SPP1,ITGB1,lung multiciliated epithelial cell,cardiac fibroblast,0.05736541612340176,0.05378150132960817,0.0033796110976818923,0.0039300875846291295,0.00019387279695378835,0.0002113660106582081,1.7493213704419737e-05,0.12402016689854159
lung->heart,SPP1,ITGB1,lung multiciliated epithelial cell,cardiac endothelial cell,0.05736541612340176,0.05378150132960817,0.005786397802698401,0.005008436613691961,0.0003319391178073314,0.00026936124039853243,-6.257787740879896e-05,-0.3003700476953645
lung->heart,SPP1,ITGB1,smooth muscle cell,cardiac fibroblast,0.16717593599100533,0.1857800279478262,0.0033796110976818923,0.0039300875846291295,0.0005649896485405593,0.0007301317813098044,0.0001651421327692451,0.36935579748960523
lung->heart,SPP1,ITGB1,smooth muscle cell,cardiac endothelial cell,0.16717593599100533,0.1857800279478262,0.005786397802698401,0.005008436613691961,0.0009673464686824018,0.0009304674940666084,-3.6878974615793406e-05,-0.056017904160408666
lung->heart,SPP1,ITGB1,endothelial cell,cardiac fibroblast,0.21397417549418782,0.21666992162524462,0.0033796110976818923,0.0039300875846291295,0.0007231494981174899,0.0008515317689419404,0.00012838227082445045,0.23546602868699995
lung->heart,SPP1,ITGB1,endothelial cell,cardiac endothelial cell,0.21397417549418782,0.21666992162524462,0.005786397802698401,0.005008436613691961,0.0012381396989137705,0.0010851775685536426,-0.00015296213036012783,-0.19007886957866527
lung->heart,SPP1,ITGB1,B cell,cardiac fibroblast,0.079774534640635,0.10480325059022438,0.0033796110976818923,0.0039300875846291295,0.0002696069025838986,0.00041188595397341634,0.00014227905138951773,0.6095447003538691
lung->heart,SPP1,ITGB1,B cell,cardiac endothelial cell,0.079774534640635,0.10480325059022438,0.005786397802698401,0.005008436613691961,0.00046160719195585784,0.0005249004374900134,6.329324553415558e-05,0.18500200186883206
lung->heart,SPP1,ITGB1,pulmonary alveolar type 1 cell,cardiac fibroblast,0.1641159054708863,0.14260736604519877,0.0033796110976818923,0.0039300875846291295,0.0005546479354355198,0.0005604594387708974,5.811503335377598e-06,0.015010737325599197
lung->heart,SPP1,ITGB1,pulmonary alveolar type 1 cell,cardiac endothelial cell,0.1641159054708863,0.14260736604519877,0.005786397802698401,0.005008436613691961,0.0009496399148045951,0.0007142399534829452,-0.00023539996132164985,-0.41047164970492084
lung->heart,SPP1,ITGB1,club cell,cardiac fibroblast,0.11696707623079128,0.1277992757437628,0.0033796110976818923,0.0039300875846291295,0.0003953032288929861,0.0005022623469251569,0.00010695911803217074,0.3447059405793779
lung->heart,SPP1,ITGB1,club cell,cardiac endothelial cell,0.11696707623079128,0.1277992757437628,0.005786397802698401,0.005008436613691961,0.0006768180328899071,0.0006400745718383765,-3.674346105153061e-05,-0.08040583376455686
lung->heart,SPP1,ITGB1,neutrophil,cardiac fibroblast,0.05767882335050758,0.003794435799531106,0.0033796110976818923,0.0039300875846291295,0.00019493199149660888,1.4912465026409504e-05,-0.00018001952647019937,-3.622123729649771
lung->heart,SPP1,ITGB1,neutrophil,cardiac endothelial cell,0.05767882335050758,0.003794435799531106,0.005786397802698401,0.005008436613691961,0.00033375261669760627,1.900419118667512e-05,-0.0003147484255109311,-4.064721129216119
lung->heart,SPP1,ITGB1,plasma cell,cardiac fibroblast,0.21958732589440794,0.13913282430369717,0.0033796110976818923,0.0039300875846291295,0.0007421197635030314,0.0005468041854103463,-0.0001953155780926851,-0.4399344499761292
lung->heart,SPP1,ITGB1,plasma cell,cardiac endothelial cell,0.21958732589440794,0.13913282430369717,0.005786397802698401,0.005008436613691961,0.0012706196200558198,0.0006968379314090076,-0.0005737816886468122,-0.8657032580200432
