year,age_name,cases,age,period,cohort,log_cases
2000,45-49 years,30329.599008978552,47.5,2000,1952.5,10.319912350206646
2001,45-49 years,31288.814344496022,47.5,2001,1953.5,10.351047903263925
2002,45-49 years,32503.198013268007,47.5,2002,1954.5,10.389124529615165
2003,45-49 years,33521.67277416115,47.5,2003,1955.5,10.419977288116536
2004,45-49 years,34154.5550934302,47.5,2004,1956.5,10.438680519220393
2005,45-49 years,34408.30577395337,47.5,2005,1957.5,10.44608232346314
2006,45-49 years,34502.27613060082,47.5,2006,1958.5,10.448809558818276
2007,45-49 years,34802.77706504334,47.5,2007,1959.5,10.457481196224743
2008,45-49 years,35525.32822190712,47.5,2008,1960.5,10.478029340638143
2009,45-49 years,36477.08322871694,47.5,2009,1961.5,10.50446689973538
2010,45-49 years,37598.10285001004,47.5,2010,1962.5,10.53473546872125
2011,45-49 years,38620.311993445,47.5,2011,1963.5,10.561559527270958
2012,45-49 years,39257.7605082514,47.5,2012,1964.5,10.577929895968119
2013,45-49 years,39532.17726358006,47.5,2013,1965.5,10.584895529068344
2014,45-49 years,39699.58573524072,47.5,2014,1966.5,10.589121220602733
2015,45-49 years,39989.95839654924,47.5,2015,1967.5,10.596408667458894
2016,45-49 years,40444.81721183171,47.5,2016,1968.5,10.607718510757424
2017,45-49 years,40905.372770935486,47.5,2017,1969.5,10.61904114336354
2018,45-49 years,41358.89906745268,47.5,2018,1970.5,10.63006706883728
2019,45-49 years,41739.94988455859,47.5,2019,1971.5,10.639237937549026
2020,45-49 years,41973.33664071647,47.5,2020,1972.5,10.644813678145256
2021,45-49 years,44387.31988015799,47.5,2021,1973.5,10.700731648050242
1990,50-54 years,31255.11625832263,52.5,1990,1937.5,10.34997035628016
1991,50-54 years,31756.62115115753,52.5,1991,1938.5,10.365888011773675
1992,50-54 years,32205.6899904244,52.5,1992,1939.5,10.379929473630392
1993,50-54 years,32681.852534395603,52.5,1993,1940.5,10.394605832018874
1994,50-54 years,33109.00634286607,52.5,1994,1941.5,10.407590822110771
1995,50-54 years,33469.07359243117,52.5,1995,1942.5,10.418406992960982
1996,50-54 years,34107.337275203514,52.5,1996,1943.5,10.43729712826161
1997,50-54 years,35085.09193891798,52.5,1997,1944.5,10.465560089873259
1998,50-54 years,35912.04538374477,52.5,1998,1945.5,10.488855889632232
1999,50-54 years,37370.33857116389,52.5,1999,1946.5,10.528659341243005
2000,50-54 years,38374.08579279315,52.5,2000,1947.5,10.555163720529817
2001,50-54 years,40537.631618206186,52.5,2001,1948.5,10.610010665568684
2002,50-54 years,43037.36493859373,52.5,2002,1949.5,10.66984720476911
2003,50-54 years,46201.45711842924,52.5,2003,1950.5,10.740788260037176
2004,50-54 years,48891.19754239437,52.5,2004,1951.5,10.797373103271761
2005,50-54 years,51759.19295587564,52.5,2005,1952.5,10.85437665706342
2006,50-54 years,52694.89690386731,52.5,2006,1953.5,10.872292873886767
2007,50-54 years,52710.66745846114,52.5,2007,1954.5,10.872592103924134
2008,50-54 years,51921.1910613408,52.5,2008,1955.5,10.857501551206745
