disease,ligand,receptor,sender,receiver,mean_ligand,mean_receptor,score
Normal,SERPINE1,VTN,natural killer cell,capillary endothelial cell,0.013663219287991524,0.0013286990579217672,1.8154307326767594e-05
Normal,SERPINE1,PLAU,natural killer cell,capillary endothelial cell,0.013663219287991524,0.10289759933948517,0.0014059124514460564
Normal,SERPINE1,LRP1,natural killer cell,macrophage,0.013663219287991524,1.0355989933013916,0.014149616472423077
Normal,SERPINE1,PLAUR,natural killer cell,macrophage,0.013663219287991524,1.4066904783248901,0.01921992003917694
Normal,SERPINE1,ITGAV,natural killer cell,macrophage,0.013663219287991524,0.4482908248901367,0.0061250957660377026
Normal,SERPINE1,ITGB3,natural killer cell,macrophage,0.013663219287991524,0.001214474905282259,1.659363624639809e-05
Normal,SERPINE1,VTN,natural killer cell,macrophage,0.013663219287991524,0.02266676351428032,0.0003097009612247348
Normal,SERPINE1,PLAU,natural killer cell,macrophage,0.013663219287991524,0.10081015527248383,0.0013773912796750665
Normal,SERPINE1,LRP1,natural killer cell,"CD8-positive, alpha-beta T cell",0.013663219287991524,0.018964122980833054,0.0002591109659988433
Normal,SERPINE1,PLAUR,natural killer cell,"CD8-positive, alpha-beta T cell",0.013663219287991524,0.05417943745851517,0.0007402655319310725
Normal,SERPINE1,ITGAV,natural killer cell,"CD8-positive, alpha-beta T cell",0.013663219287991524,0.1800706833600998,0.002460345160216093
Normal,SERPINE1,ITGB3,natural killer cell,"CD8-positive, alpha-beta T cell",0.013663219287991524,0.0023529811296612024,3.2149298931472003e-05
Normal,SERPINE1,VTN,natural killer cell,"CD8-positive, alpha-beta T cell",0.013663219287991524,0.0,0.0
Normal,SERPINE1,PLAU,natural killer cell,"CD8-positive, alpha-beta T cell",0.013663219287991524,0.0027266780380159616,3.7255198549246415e-05
Normal,SERPINE1,LRP1,natural killer cell,monocyte,0.013663219287991524,0.5015445351600647,0.006852712947875261
Normal,SERPINE1,PLAUR,natural killer cell,monocyte,0.013663219287991524,1.9285908937454224,0.026350760832428932
Normal,SERPINE1,ITGAV,natural killer cell,monocyte,0.013663219287991524,0.22583134472370148,0.0030855832155793905
Normal,SERPINE1,ITGB3,natural killer cell,monocyte,0.013663219287991524,0.0019068242982029915,2.605335794214625e-05
Normal,SERPINE1,VTN,natural killer cell,monocyte,0.013663219287991524,0.0002542365400586277,3.4736895031528547e-06
Normal,SERPINE1,PLAU,natural killer cell,monocyte,0.013663219287991524,0.021660732105374336,0.0002959553385153413
Normal,SERPINE1,LRP1,natural killer cell,fibroblast,0.013663219287991524,1.1042487621307373,0.015087593346834183
Normal,SERPINE1,PLAUR,natural killer cell,fibroblast,0.013663219287991524,0.3658265173435211,0.004998367745429277
Normal,SERPINE1,ITGAV,natural killer cell,fibroblast,0.013663219287991524,0.48545774817466736,0.006632915697991848
Normal,SERPINE1,ITGB3,natural killer cell,fibroblast,0.013663219287991524,0.016091804951429367,0.00021986586216371506
Normal,SERPINE1,VTN,natural killer cell,fibroblast,0.013663219287991524,0.007628223858773708,0.00010422609193483368
Normal,SERPINE1,PLAU,natural killer cell,fibroblast,0.013663219287991524,0.0512564443051815,0.0007003280334174633
Normal,SERPINE1,LRP1,natural killer cell,conventional dendritic cell,0.013663219287991524,0.6445091366767883,0.008806069381535053
Normal,SERPINE1,PLAUR,natural killer cell,conventional dendritic cell,0.013663219287991524,1.2957876920700073,0.017704632133245468
Normal,SERPINE1,ITGAV,natural killer cell,conventional dendritic cell,0.013663219287991524,0.5384222269058228,0.007356580812484026
Normal,SERPINE1,ITGB3,natural killer cell,conventional dendritic cell,0.013663219287991524,0.0274202860891819,0.00037464938941411674
Normal,SERPINE1,VTN,natural killer cell,conventional dendritic cell,0.013663219287991524,0.006924258079379797,9.460765431867912e-05
Normal,SERPINE1,PLAU,natural killer cell,conventional dendritic cell,0.013663219287991524,0.3481919765472412,0.004757423419505358
Normal,SERPINE1,LRP1,natural killer cell,mast cell,0.013663219287991524,0.014076117426156998,0.0001923250820254907
Normal,SERPINE1,PLAUR,natural killer cell,mast cell,0.013663219287991524,0.6777046322822571,0.00925962720066309
Normal,SERPINE1,ITGAV,natural killer cell,mast cell,0.013663219287991524,0.3965514004230499,0.005418168846517801
Normal,SERPINE1,ITGB3,natural killer cell,mast cell,0.013663219287991524,0.034890614449977875,0.00047671812353655696
Normal,SERPINE1,VTN,natural killer cell,mast cell,0.013663219287991524,0.0005058146198280156,6.911056061653653e-06
