cell_type,gene,mean_COPD,mean_Normal,pct_COPD,pct_Normal,log2FC_COPD_vs_Normal,wilcoxon_stat,pvalue,n_COPD,n_Normal,fdr
capillary endothelial cell,F13A1,0.007530501578003168,0.00658860569819808,0.0050200803212851405,0.007271074755737333,0.19345301389694214,-0.14324077020107984,0.886100031831099,1992,4401,1.0
club cell,F13A1,0.01139927189797163,0.042443305253982544,0.010126582278481013,0.014925373134328358,-1.9190893173217773,-0.0856787332510157,0.9317218083581023,395,134,1.0
conventional dendritic cell,F13A1,0.9286527037620544,0.9935154914855957,0.5901060070671378,0.5316229116945107,-0.15157361328601837,0.23718882807315278,0.8125103029626785,1132,1676,1.0
endothelial cell,F13A1,0.011513561010360718,0.0008498340030200779,0.009230769230769232,0.0017035775127768314,3.7677078247070312,0.18885361456102323,0.8502075494943886,325,587,1.0
endothelial cell of lymphatic vessel,F13A1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,127,137,1.0
fibroblast,F13A1,0.02063651569187641,0.01957411877810955,0.020242914979757085,0.014028934677772907,0.0770210400223732,0.25120189176048513,0.8016580220363958,741,2281,1.0
leukocyte,F13A1,0.08565112203359604,0.06375338137149811,0.06486486486486487,0.05759162303664921,0.4419630169868469,0.13714666369656228,0.8909148686213488,185,191,1.0
lung multiciliated epithelial cell,F13A1,0.025005977600812912,0.13027708232402802,0.013392857142857142,0.058823529411764705,-2.458157777786255,-1.7360749364997654,0.08255058536928642,896,1054,0.28892704879250247
macrophage,F13A1,0.006228739395737648,0.0072171930223703384,0.01098901098901099,0.012243113248797552,-0.21321150660514832,-0.07069079912649069,0.9436438437517066,2002,2287,1.0
mast cell,F13A1,0.003130435012280941,0.0025577170308679342,0.003352891869237217,0.003278688524590164,0.2919197976589203,0.0031558446235787937,0.9974820044781565,1193,1220,1.0
monocyte,F13A1,0.8211072087287903,0.21114060282707214,0.5641809290953546,0.23476802683063164,2.4369893074035645,19.87643693217111,6.509573610336895e-88,1636,1789,8.885567978109863e-86
natural killer cell,F13A1,0.007239479571580887,0.005407976917922497,0.007653061224489796,0.005986969536890298,0.42211946845054626,0.12419742943099536,0.9011589574987623,2744,5679,1.0
neutrophil,F13A1,0.04855082184076309,0.018583348020911217,0.03048780487804878,0.008403361344537815,1.4072232246398926,0.4035387150704456,0.6865519598181009,164,357,1.0
plasma cell,F13A1,0.002851917641237378,0.008137702010571957,0.0111731843575419,0.023923444976076555,-1.5165051221847534,-0.21838924381136018,0.8271258454868784,179,209,1.0
pulmonary alveolar type 1 cell,F13A1,0.0,0.0069874865002930164,0.0,0.008955223880597015,-22.74138641357422,-0.1783343669347333,0.8584603904702937,219,335,1.0
pulmonary alveolar type 2 cell,F13A1,0.002547989832237363,0.001873440807685256,0.007075471698113208,0.006172839506172839,0.44415563344955444,0.03588760969015254,0.9713719755393728,848,1296,1.0
smooth muscle cell,F13A1,0.008012319914996624,0.006510100327432156,0.004514672686230248,0.005980861244019139,0.30062514543533325,-0.04256027473237117,0.9660520629487507,443,836,1.0
vein endothelial cell,F13A1,0.006000572815537453,0.007099687121808529,0.007237635705669481,0.007588532883642495,-0.24344897270202637,-0.01287726839114788,0.9897257103202123,829,1186,1.0
B cell,IL1R2,0.010252988897264004,0.0012994976714253426,0.005797101449275362,0.0027247956403269754,2.9864823818206787,0.07127710305355027,0.943177217987748,345,367,1.0
"CD4-positive, alpha-beta T cell",IL1R2,0.033117447048425674,0.02150556817650795,0.023166945306902317,0.017135692393424353,0.6312954425811768,0.5428166962635091,0.5872560163789098,4187,7178,1.0
"CD8-positive, alpha-beta T cell",IL1R2,0.011431808583438396,0.010493946261703968,0.005855562784645413,0.006925740669488265,0.12417417764663696,-0.0568174049941725,0.9546906491540826,1537,2599,1.0
capillary endothelial cell,IL1R2,0.004360617138445377,0.009981737472116947,0.0035140562248995983,0.0081799591002045,-1.1988177299499512,-0.299159592228435,0.7648182789321722,1992,4401,1.0
club cell,IL1R2,0.007488137111067772,0.0,0.007594936708860759,0.0,22.841581344604492,0.1314612624691157,0.895410428647249,395,134,1.0
conventional dendritic cell,IL1R2,0.3210522532463074,0.37300607562065125,0.27208480565371024,0.26670644391408116,-0.2560308575630188,-0.1698781643496823,0.8651059538306979,1132,1676,1.0
endothelial cell,IL1R2,0.001594080007635057,0.006901557557284832,0.003076923076923077,0.010221465076660987,-2.118028402328491,-0.17914189289492477,0.8578262882546001,325,587,1.0
endothelial cell of lymphatic vessel,IL1R2,0.0,0.003774977056309581,0.0,0.0072992700729927005,-21.85076141357422,-0.10244228743974637,0.9184056196850978,127,137,1.0
fibroblast,IL1R2,0.02237410843372345,0.01089914795011282,0.014844804318488529,0.00920648838228847,1.0459152460098267,0.23220485470634986,0.8163789072913851,741,2281,1.0
leukocyte,IL1R2,0.05607413128018379,0.11106079816818237,0.07027027027027027,0.09947643979057591,-1.026159405708313,-0.5167914074932746,0.6053017788518679,185,191,1.0
lung multiciliated epithelial cell,IL1R2,0.010350349359214306,0.020798470824956894,0.006696428571428571,0.010436432637571158,-1.0143542289733887,-0.14292435443199536,0.8863499239767002,896,1054,1.0
macrophage,IL1R2,0.012038828805088997,0.014801240526139736,0.02097902097902098,0.025360734586794928,-0.30002009868621826,-0.249988371456408,0.8025963414213277,2002,2287,1.0
mast cell,IL1R2,0.0013408227823674679,0.001736912177875638,0.0016764459346186086,0.002459016393442623,-0.3736916184425354,-0.03328247246533561,0.9734493309627086,1193,1220,1.0
monocyte,IL1R2,0.27701693773269653,0.5030144453048706,0.21210268948655256,0.30072666294019007,-1.0342164039611816,-5.159548914804256,2.4754554380623756e-07,1636,1789,2.703197338364114e-06
natural killer cell,IL1R2,0.002534817438572645,0.006225049961358309,0.0029154518950437317,0.005634794858249692,-1.298867106437683,-0.20308526547681083,0.8390683882040018,2744,5679,1.0
neutrophil,IL1R2,2.086012363433838,2.0423169136047363,0.6341463414634146,0.6330532212885154,0.07220474630594254,0.3753411340484424,0.7074067780192008,164,357,1.0
plasma cell,IL1R2,0.0007295658579096198,0.014470289461314678,0.00558659217877095,0.019138755980861243,-4.319834232330322,-0.2320101945688255,0.8165300957075051,179,209,1.0
pulmonary alveolar type 1 cell,IL1R2,0.0,0.04011322557926178,0.0,0.01791044776119403,-25.28660774230957,-0.3566687338694666,0.7213398148085778,219,335,1.0
pulmonary alveolar type 2 cell,IL1R2,0.0009640303323976696,0.006308829877525568,0.003537735849056604,0.010802469135802469,-2.714078664779663,-0.28545989338031874,0.7752918270670112,848,1296,1.0
smooth muscle cell,IL1R2,0.0,0.007989615201950073,0.0,0.004784688995215311,-22.935461044311523,-0.14096599406684432,0.887896806838717,443,836,1.0
vein endothelial cell,IL1R2,0.018363138660788536,0.0433293916285038,0.031363088057901084,0.05480607082630692,-1.256635069847107,-0.9241677058360057,0.35539900670379954,829,1186,0.9006425036058635
B cell,IL1RL1,0.007022990379482508,0.0013143854448571801,0.005797101449275362,0.0027247956403269754,2.421816825866699,0.07091251429112802,0.943467383486642,345,367,1.0
"CD4-positive, alpha-beta T cell",IL1RL1,0.0037644498515874147,0.005698133260011673,0.0033436828278003345,0.005015324602953469,-0.5994461178779602,-0.14898061317784292,0.8815689306748743,4187,7178,1.0
"CD8-positive, alpha-beta T cell",IL1RL1,0.005003736820071936,0.007769094780087471,0.0032530904359141183,0.0061562139284340135,-0.6367374658584595,-0.15592787004921943,0.8760898768734016,1537,2599,1.0
